name,Kommune
Bezirksamt Mitte - Facility Management,Berlin
Bezirksamt Pankow,Berlin
Bezirksamt Steglitz-Zehlendorf,Berlin
"Bezirksamt Steglitz-Zehlendorf - Abt. Immobilien, Umwelt und Tiefbau, Serviceeinheit Facility Management",Berlin
Bezirksamt Steglitz-Zehlendorf - Büro der Bezirksbürgermeisterin,Berlin
Bezirksamt Steglitz-Zehlendorf - Jugendamt,Berlin
Bezirksamt Steglitz-Zehlendorf - Schulamt und Hochbauamt,Berlin
Bezirksamt Steglitz-Zehlendorf - Straßen- und Grünflächenamt,Berlin
Bezirksamt Tempelhof-Schöneberg,Berlin
Bezirksamt Tempelhof-Schöneberg - Finanzservice,Berlin
Bezirksamt Treptow-Köpenick - Büro Bezirksbürgermeister,Berlin
"Bezirksamt Treptow-Köpenick, Büro des Bezirksbürgermeisters",Berlin
Bezirsamt Treptow-Köpenick von Berlin,Berlin
Der Polizeipräsident in Berlin,Berlin
Der Regierende Bürgermeister von Berlin - Senatskanzlei - Landesredaktion / Koordinierung Berlin.de,Berlin
Energiebeauftragter des Bezirksamtes Herr Müller-Nilsson,Berlin
Finanzservice Tempelhof-Schöneberg,Berlin
Fischereiamt Berlin,Berlin
Humboldt-Universität zu Berlin,Berlin
Jugendamt Lichtenberg,Berlin
Jugendamt Marzahn-Hellersdorf,Berlin
LAGeSo,Berlin
Landesdenkmalamt Berlin,Berlin
"Senatsverwaltung für Bildung, Jugend und Familie Berlin",Berlin
Senatsverwaltung für Gesundheit und Soziales Berlin,Berlin
Senatsverwaltung für Gesundheit und Soziales von Berlin,Berlin
"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung Berlin",Berlin
Senatsverwaltung für Stadtentwicklung,Berlin
Senatsverwaltung für Stadtentwicklung und Umwelt Berlin,Berlin
Senatsverwaltung für Stadtentwicklung und Wohnen Berlin,Berlin
"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz",Berlin
"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz",Berlin
"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin",Berlin
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Berlin
"Senatsverwaltung für Wirtschaft, Energie und Betriebe Berlin",Berlin
Servicezentrum der Berliner Volkshochschulen,Berlin
Stadtentwicklungsamt Neukölln -FB Stadtplanung-,Berlin
"Stadtmuseum Berlin, eCulture",Berlin
Stromnetz Berlin GmbH,Berlin
Tegel Projekt GmbH - Urban Data & Plattform,Berlin
VBB - Verkehrsverbund Berlin-Brandenburg GmbH,Berlin
Verkehrslenkung Berlin,Berlin
Bezirksamt Friedrichshain-Kreuzberg von Berlin - Vermessung,Berlin
Bezirksamt Lichtenberg von Berlin - Büro der Bezirksverordnetenversammlung,Berlin
"Bezirksamt Lichtenberg, Abteilung Personal, Finanzen, Immobilien und Kultur",Berlin
"Bezirksamt Lichtenberg, Abteilung Personal, Finanzen, Immobilien und Kultur, Serviceeinheit Facility Management",Berlin
Bezirksamt Marzahn-Hellersdorf von Berlin - Büro der Bezirksverordnetenversammlung,Berlin
"Bezirksamt Mitte, QPK",Berlin
"Bezirksamt Pankow von Berlin, Büro der Bezirksverordnetenversammlung",Berlin
"Bezirksamt Pankow, Amt für öffentliche Ordnung",Berlin
Bezirksamt Reinickendorf von Berlin - Büro der Bezirksverordnetenversammlung,Berlin
Bezirksamt Steglitz-Zehlendorf  von Berlin - Büro der Bezirksverordnetenversammlung,Berlin
Bezirksamt Treptow-Köpenick von Berlin - Büro der Bezirksverordnetenversammlung,Berlin
Landedenkmalamt Berlin,Berlin
Polizei Berlin,Berlin
Polizei Berlin LKA St 14,Berlin
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Berlin
"Senatsverwaltung für Umwelt, Mobilität, Verbraucher- und Klimaschutz Berlin",Berlin
"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz, Fischereiamt Berlin",Berlin
"Senatsverwaltung für Wissenschaft, Gesundheit, Pflege und Gleichstellung",Berlin
"Senatsverwaltung Umwelt, Verkehr und Klimaschutz",Berlin
Statistikstelle Personal bei der Senatsverwaltung für Finanzen,Berlin
Abt. III C - Freiraumplanung und Stadtgrün,Berlin
Beate Wimmer,Berlin
"Bezirksamt Charlottenburg-Wilmersdorf, Büro der Bezirksverordnetenversammlung",Berlin
Bezirksamt Friedrichshain-Kreuzberg von Berlin,Berlin
"Bezirksamt Spandau von Berlin. Abteilung Bauen, Planen, Umwelt- und Naturschutz (FB Vermessung und Geoinformation).",Berlin
Bezirksamt Steglitz-Zehlendorf von Berlin,Berlin
Landesamt für Gesundheit und Soziales Berlin,Berlin
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen Berlin",Berlin
"Senatsverwaltung für Umwelt, Mobilität, Verbraucher- und Klimaschutz",Berlin
"Senatsverwaltung für Umwelt, Mobilität, Verbraucher- und Klimaschutz, Fischereiamt Berlin",Berlin
"Senatsverwaltung für Wissenschaft, Gesundheit, Pflege und Gleichstellung Berlin",Berlin
"Senatsverwaltung für Wissenschaft, Gesundheit, Pflege und Gleichstellung Berlin – Presse- und Öffentlichkeitsarbeit",Berlin
"Bezirksamt Lichtenberg, Abteilung Schule, Sport und Facility Management, Serviceeinheit Facility Management",Berlin
VMZ Berlin Betreibergesellschaft mbH,Berlin
Bezirksamt Neukölln von Berlin,Berlin
"Bezirksamt Tempelhof-Schöneberg von Berlin, SE Facility Management",Berlin
Frau Koch - Ansprechpartnerin für die Begegnungsstätten im Sozialamt des Bezirksamtes Pankow von Berlin,Berlin
"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt Berlin",Berlin
"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt, Fischereiamt Berlin",Berlin
Berliner Wasserbetriebe,Berlin
Bezirksamt Friedrichshain-Kreuzberg von Berlin - Vermessung,Berlin
Bezirksamt Steglitz-Zehlendorf - Fachbereich Grünflächen,Berlin
"Bezirksamt Treptow-Köpenick, Bereich Museen",Berlin
Bezirksamt Friedrichshain-Kreuzberg von Berlin - Vermessung,Berlin
Berlin.de,Berlin
Berliner Umweltportal,Berlin
BerlinOnline Stadtportal GmbH & Co KG,Berlin
BerlinOnline Stadtportal GmbH & Co. KG,Berlin
Bezirksamt Charlottenburg-Wilmersdorf von Berlin,Berlin
"Bezirksamt Charlottenburg-Wilmersdorf von Berlin, OE SPK",Berlin
Bezirksamt Friedrichshain-Kreuzberg von Berlin - Büro der Bezirksverordnetenversammlung,Berlin
Bezirksamt Lichtenberg - Finanzservice,Berlin
Bezirksamt Mitte - Amt für Weiterbildung und Kultur,Berlin
Bezirksamt Mitte von Berlin - Büro der Bezirksverordnetenversammlung,Berlin
Bezirksamt Neukölln von Berlin - Büro der Bezirksverordnetenversammlung,Berlin
Bezirksamt Pankow von Berlin,Berlin
Bezirksamt Tempelhof-Schöneberg - Büro der Bezirksverordnetenversammlung,Berlin
"Bezirksamt Tempelhof-Schöneberg, Abteilung Stadtentwicklung und Facility Management",Berlin
Bezirksamt Treptow-Köpenick von Berlin,Berlin
Der Regierende Bürgermeister - Senatskanzlei,Berlin
Berlin.de,Berlin
Bezirksamt Mitte - Amt für Weiterbildung und Kultur,Berlin
"Arbeitsstelle Gewaltprävention i.A. der Landeskommission Berlin gegen Gewalt, Senatsverwaltung für Inneres und Sport",Berlin
IHK Berlin,Berlin
Senatskanzlei Berlin,Berlin
bernkastel,Bernkastel-Kues
bernkastelkues,Bernkastel-Kues
kues,Bernkastel-Kues
Stadt Bernkastel-Kues,Bernkastel-Kues
Bielefeld,Bielefeld
Stadt Bielefeld,Bielefeld
Stadt Bielefeld - Amt für Geoinformation und Kataster,Bielefeld
Immobilienservicebetrieb der Stadt Bielefeld (ISB),Bielefeld
Marcel Tesch,Bielefeld
Presseamt/Statistikstelle der Stadt Bielefeld,Bielefeld
Stadt Bielefeld - Feuerwehramt,Bielefeld
"Stadt Bielefeld, Presseamt/Statistikstelle",Bielefeld
geoinformationundkataster@bielefeld.de,Bielefeld
Stadt Bielefeld - Sportamt,Bielefeld
Stadt Bielefeld - Umweltamt,Bielefeld
Umweltbetrieb der Stadt Bielefeld,Bielefeld
Stadt Bielefeld - Amt für Schule,Bielefeld
Stadt Bielefeld - Umweltbetrieb,Bielefeld
Stadt Bielefeld - Wahlteam,Bielefeld
Bürgeramt der Stadt Bielefeld - Wahlteam,Bielefeld
Gutachterausschuss für Grundstückswerte in der Stadt Bielefeld,Bielefeld
Immobilienservicebetrieb der Stadt Bielefeld (ISB),Bielefeld
Stadt Bielefeld - Amt für Schule,Bielefeld
Umweltbetrieb der Stadt Bielefeld (UWB),Bielefeld
Stadt Bielefeld - Amt für Verkehr,Bielefeld
Stadt Bielefeld - Bauamt,Bielefeld
Immobilienservicebetrieb der Stadt Bielefeld (ISB),Bielefeld
Stadt Bielefeld - Amt für Jugend und Familie - Jugendamt,Bielefeld
Stadt Bielefeld - Amt für Personal,Bielefeld
Stadt Bielefeld - Bürgeramt Wahlteam,Bielefeld
Wahlteam der Stadt Bielefeld,Bielefeld
Stadtverwaltung Bingen am Rhein,Bingen am Rhein
Verbandsgemeinde Birkenfeld,Birkenfeld
Verbandsgemeinde Bitburger Land,Bitburger-Land
Stadt Blankenhain,Blankenhain
Stadtverwaltung Böblingen,Böblingen
Stadt Bocholt,Bocholt
Stadt Bochum,Bochum
"Amt für Bürgerservice der Stadt Bochum, Büro für Kfz-Angelegenheiten",Bochum
Gemeinde Bönen,Bönen
Bonn,Bonn
Bonn.digital GbR,Bonn
bonnorange AöR,Bonn
Stadt Bonn,Bonn
Stadtwerke Bonn,Bonn
opendata@bonn.de,Bonn
Stadt Bottrop,Bottrop
Stadt Bottrop,Bottrop
Stadt Bottrop - Amt für Informationsverarbeitung (12),Bottrop
Stadt Bramsche,Bramsche
Regionalverband Großraum Braunschweig,Braunschweig
"Stadt Braunschweig, Fachbereich 61 Stadtplanung und Umweltschutz, Abt. 61.2 Geoinformation",Braunschweig
"Stadt Braunschweig, Fachbereich für Stadtplanung und Umweltschutz, Abtlg. Geoinformation",Braunschweig
"Stadt Braunschweig, Fachbereich Stadtplanung und Umweltschutz, Abt. Geoinformation",Braunschweig
"Stadt Braunschweig, Referat Stadtentwicklung und Statistik",Braunschweig
Stadt Braunschweig,Braunschweig
"Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",Bremen
"Freie Hansestadt Bremen, der Senator für Inneres",Bremen
"Freie Hansestadt Bremen, der Senator für Kultur",Bremen
"Freie Hansestadt Bremen, die Senatorin für Kinder und Bildung",Bremen
"Freie Hansestadt Bremen, die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",Bremen
Freie und Hansestadt Bremen,Bremen
"Senatorin für Finanzen, Zentrales IT-Management, Digitalisierung öffentlicher Dienste",Bremen
Stadtbibliothek Bremen,Bremen
Statistisches Landesamt Bremen,Bremen
Transparenzportal Bremen,Bremen
"Die Senatorin für Soziales, Jugend, Integration und Sport\nProjektkoordination Bremen",Bremen
"Freie Hansestadt Bremen, Die Senatorin für Kinder und Bildung",Bremen
"Freie Hansestadt Bremen, Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",Bremen
"Landesamt GeoInformation Bremen, Koordinierungsstelle GDI-FHB",Bremen
Verkehrs Management Zentrale Bremen,Bremen
"Freie Hansestadt Bremen, Die Senatorin für Umwelt, Klima und Wissenschaft",Bremen
"Die Senatorin für Soziales, Jugend, Integration und Sport
Projektkoordination Bremen",Bremen
"Freie Hansestadt Bremen, Die Senatorin für Bau, Mobilität und Stadtentwicklung",Bremen
"Freie Hansestadt Bremen, Die Senatorin für Kinder und Bildung",Bremen
Stadt Brotterode-Trusetal,Brotterode-Trusetal
Samtgemeinde Bruchhausen-Vilsen,Bruchhausen-Vilsen
Verbandsgemeinde Bruchmühlbach-Miesau,Bruchmühlbach-Miesau
Brühl,Brühl
Stadt Brühl,Brühl
Stadt Brunsbüttel,Brunsbüttel
Stadt Büdelsdorf,Büdelsdorf
Stadt Bürgel und den zu erfüllenden Gemeinden,Bürgel
Stadt Bürgel und der beauftragenden Gemeinden,Bürgel
Stadt Celle,Celle
GISAdminChemnitz,Chemnitz
Stadt Chemnitz,Chemnitz
"Stadt Chemnitz, Amt 10, Hauptamt",Chemnitz
"Stadt Chemnitz, Amt 18, Amt für Informationsverarbeitung",Chemnitz
"Stadt Chemnitz, Amt 36, Umweltamt",Chemnitz
"Stadt Chemnitz, Amt 40, Schulamt",Chemnitz
"Stadt Chemnitz, Amt 48, Tierpark",Chemnitz
"Stadt Chemnitz, Amt 51, Jugendamt",Chemnitz
"Stadt Chemnitz, Amt 52, Sportamt",Chemnitz
"Stadt Chemnitz, Amt 61, Stadtplanungsamt",Chemnitz
"Stadt Chemnitz, Amt 62, Städtisches Vermessungsamt",Chemnitz
"Stadt Chemnitz, Amt 66, Tiefbauamt",Chemnitz
"Stadt Chemnitz, Amt 67, Grünflächenamt",Chemnitz
Stadtverwaltung Chemnitz,Chemnitz
Stadt Deggendorf,Deggendorf
Stadt Delbrück,Delbrück
Stadt Diepholz,Diepholz
Stadt Dingelstädt,Dingelstädt
Stadt Dissen aTW,Dissen am Teutoburger Wald
Dormagen,Dormagen
Stadt Dormagen,Dormagen
Stadt Dormagen,Dormagen
Stadt Dormagen (SWD),Dormagen
Stadt Dormagen,Dormagen
Dortmund,Dortmund
Kulturbetriebe Dortmund,Dortmund
Sport und Freitzeitbetriebe Dortmund,Dortmund
Stadt Dortmund,Dortmund
Landeshauptstadt Dresden,Dresden
Verkehrsverbund Oberelbe GmbH,Dresden
Stadt Dresden,Dresden
Gemeinde Drochtersen,Drochtersen
Stadt Drolshagen,Drolshagen
Duisburg,Duisburg
Duisburg Kontor,Duisburg
Stadt Duisburg,Duisburg
Wirtschaftsbetriebe Duisburg,Duisburg
Zoo Duisburg,Duisburg
Stadt Duisburg,Duisburg
Stadt Dülmen,Dülmen
Düsseldorf,Düsseldorf
Düsseldorfer Drogenhilfe e.V.,Düsseldorf
Feuerwehr Düsseldorf,Düsseldorf
Landeshauptstadt Düsseldorf,Düsseldorf
Stadtbüchereien der Landeshauptstadt Düsseldorf,Düsseldorf
Bezirksregierung Düsseldorf,Düsseldorf
Düsseldorf Tourismus,Düsseldorf
Open Data Team Düsseldorf,Düsseldorf
Open-Data-Team der Landeshauptstadt Düsseldorf,Düsseldorf
Open-Data-Team Düseldorf,Düsseldorf
Open-Data-Team Düsseldorf,Düsseldorf
Zukunftswerkstatt Düsseldorf,Düsseldorf
Feuerwehr Düsseldorf,Düsseldorf
Landeshauptstadt Düsseldorf - Kulturamt,Düsseldorf
Landeshauptstadt Düsseldorf - Kämmerei,Düsseldorf
Landeshauptstadt Düsseldorf - Stadtplanungsamt,Düsseldorf
Landeshauptstadt Düsseldorf – Amt für Statistik und Wahlen,Düsseldorf
Landeshauptstadt Düsseldorf – Sportamt,Düsseldorf
Landeshauptstadt Düsseldorf – Stadtentwässerungsbetrieb,Düsseldorf
Netzgesellschaft Düsseldorf mbH,Düsseldorf
 Open-Data-Team der Landeshauptstadt Düsseldorf,Düsseldorf
Ebeleben,Ebeleben
Stadt Ebeleben und der beauftragenden Gemeinden,Ebeleben
Stadt Eckernförde,Eckernförde
Stadt Eisenberg und den zu erfüllenden Gemeinden,Eisenberg
Stadt Eisenberg und der beauftragenden Gemeinden,Eisenberg
Stadt Eisfeld,Eisfeld
Stadt Ellrich,Ellrich
Stadt Elmshorn,Elmshorn
Elsdorf,Elsdorf
Stadt Elsdorf,Elsdorf
Stadt Emsdetten,Emsdetten
Verbandsgemeinde Enkenbach-Alsenborn,Enkenbach-Alsenborn
Ennepe-Ruhr-Kreis,Ennepe-Ruhr-Kreis
Stadt Ennigerloh,Ennigerloh
"Stadt Ennigerloh, Fachbereich Stadtentwicklung, Dipl.-Ing. Ben Riepe",Ennigerloh
Stadt Erftstadt,Erfstadt
Stadtverwaltung Erfurt,Erfurt
Stadt Erfurt,Erfurt
"Stadt Erfurt, TVA",Erfurt
Kulturamt Erlangen,Erlangen
OpenData Erlangen,Erlangen
Stadt Erlangen,Erlangen
"Stadt Erlangen, Eigenbetrieb für Stadtgrün",Erlangen
Statistik und Stadtforschung Erlangen,Erlangen
Stadt Eschweiler,Eschweiler
Essen,Essen
Stadt Essen,Essen
Stadt Euskirchen,Euskirchen
Gemeinde Everswinkel,Everswinkel
Stadt Flensburg,Flensburg
Gemeinde Frankenblick,Frankenblick
"Stadt Frankfurt am Main, Straßenverkehrsamt Verkehrsmanagement",Frankfurt am Main
Stadt Frankfurt am Main,Frankfurt am Main
"Stadt Frankfurt am Main, Bürgeramt, Statistik und Einwohnerwesen",Frankfurt am Main
"Stadt Frankfurt am Main, Bürgeramt, Statistik und Wahlen",Frankfurt am Main
"Stadt Frankfurt am Main, Stadtkämmerei",Frankfurt am Main
"Stadt Frankfurt am Main, Stadtvermessungsamt",Frankfurt am Main
"Stadt Frankfurt am Main, Umweltamt",Frankfurt am Main
Freiburg,Freiburg i. Br.
Freiburg i. Br.,Freiburg i. Br.
Stadt Freiburg i. Br. - Amt für Bürgerservice und Informationsverarbeitung,Freiburg i. Br.
Stadt Freiburg i. Br. - Garten- und Tiefbauamt,Freiburg i. Br.
Stadt Freiburg i. Br. - Geodatenmanagement,Freiburg i. Br.
Stadt Freiburg i. Br. - Stadtplanungsamt,Freiburg i. Br.
Stadt Freiburg i. Br. - Vermessungsamt,Freiburg i. Br.
Stadt Freiburg i. Br. - Geodatenmanagement,Freiburg i. Br.
Stadt Freiburg i. Br. - Stadtarchiv,Freiburg i. Br.
Stadt Freiburg i. Br.,Freiburg i. Br.
Stadt Freiburg i. Br. - Amt für Bürgerservice und Informationsmanagement,Freiburg i. Br.
Stadt Freiburg i. Br. - Amt für Digitales und IT,Freiburg i. Br.
Stadt Freiburg i. Br. - Baurechtsamt,Freiburg i. Br.
Stadt Freiburg i. Br. - Geodatenmanagement,Freiburg i. Br.
Stadt Freiburg i. Br. - Nachhaltigkeitsmanagement,Freiburg i. Br.
Stadt Freiburg i. Br. - Umweltschutzamt,Freiburg i. Br.
Stadt Freiburg im Breisgau,Freiburg i. Br.
Stadt Freren,Freren
Stadt Friedrichroda,Friedrichroda
Stadt Friedrichshafen,Friedrichshafen
Stadt Fürstenwalde/Spree - Fachgruppe TUIV,Fürstenwald/Spree
Gemeinde Geeste,Geeste
Stadt Geesthacht,Geesthacht
Internetredaktion der Stadt Geldern,Geldern
Gelsenkirchen,Gelsenkirchen
Offene Daten Gelsenkirchen,Gelsenkirchen
"Referat 62 - Vermessung und Kataster, Stadt Gelsenkirchen",Gelsenkirchen
Stadt Gelsenkirchen,Gelsenkirchen
Statistikstelle der Stadt Gelsenkirchen,Gelsenkirchen
Statistikstelle Gelsenkirchen,Gelsenkirchen
Statistikstelle Stadt Gelsenkirchen,Gelsenkirchen
Gemeinde Ammersbek,Gemeinde Ammersbek
Gemeinde Amt Wachsenburg,Gemeinde Amt Wachsenburg
Gemeinde Anrode,Gemeinde Anrode
Gemeinde Apen,Gemeinde Apen
Gemeinde Auengrund und der beauftragenden Gemeinden,Gemeinde Auengrund und der beauftragenden Gemeinden
Gemeinde Bad Essen,Gemeinde Bad Essen
Gemeinde Bad Klosterlausnitz und der beauftragenden Gemeinden,Gemeinde Bad Klosterlausnitz
Bad Sassendorf,Gemeinde Bad Sassendorf
Gemeinde Bad Sassendorf,Gemeinde Bad Sassendorf
Gemeinde Bad Zwischenahn,Gemeinde Bad Zwischenahn
Gemeinde Belm,Gemeinde Belm
Gemeinde Bissendorf,Gemeinde Bissendorf
Gemeinde Breitungen und beauftragende Gemeinden,Gemeinde Breitungen
Gemeinde Breitungen und der beauftragenden Gemeinden,Gemeinde Breitungen
Gemeinde Büchen,Gemeinde Büchen
Amt Büchen,Gemeinde Büchen
Gemeinde Edewecht,Gemeinde Edewecht
Gemeinde Elxleben und der beauftragenden Gemeinden,Gemeinde Elxleben und der beauftragenden Gemeinden
Gemeinde Eppertshausen,Gemeinde Eppertshausen
Gemeinde Föritztal,Gemeinde Föritztal
Gemeinde Ganderkesee,Gemeinde Ganderkesee
Gemeinde Grabfeld,Gemeinde Grabfeld
Gemeinde Grafschaft,Gemeinde Grafschaft
Gemeinde Haar ,Gemeinde Haar
Gemeinde Harth-Pöllnitz,Gemeinde Harth-Pöllnitz
Gemeinde Harztor,Gemeinde Harztor
Gemeinde Hasbergen,Gemeinde Hasbergen
Gemeinde Helbedündorf,Gemeinde Helbedündorf
Gemeinde Hellenthal,Gemeinde Hellenthal
Hellenthal,Gemeinde Hellenthal
Gemeinde Hohenstein,Gemeinde Hohenstein
Gemeinde Hörsel,Gemeinde Hörsel
Kall,Gemeinde Kall
Gemeinde Kaulsdorf und den zu erfüllenden Gemeinden,Gemeinde Kaulsdorf
Kaulsdorf,Gemeinde Kaulsdorf
Gemeinde Kaulsdorf und beauftragende Gemeinden,Gemeinde Kaulsdorf
Gemeinde Kaulsdorf und der beauftragenden Gemeinden,Gemeinde Kaulsdorf
Gemeinde Kraftsdorf,Gemeinde Kraftsdorf
Gemeinde Kyffhäuserland,Gemeinde Kyffhäuserland
Gemeinde Langenwetzendorf und der beauftragenden Gemeinden,Gemeinde Langenwetzendorf und der beauftragenden Gemeinden
Gemeinde Masserberg,Gemeinde Masserberg
